#PC0: 2.08734e+06 / 2.19647e+06 = 0.950314
#PC1: 56006.2 / 2.19647e+06 = 0.0254982
#PC2: 25787.2 / 2.19647e+06 = 0.0117403
#PC3: 9531.2 / 2.19647e+06 = 0.00433932
#PC4: 5646.63 / 2.19647e+06 = 0.00257077
#PC5: 3011.57 / 2.19647e+06 = 0.0013711
#PC6: 2055.88 / 2.19647e+06 = 0.000935993
#PC7: 1784.36 / 2.19647e+06 = 0.000812373
#PC8: 1222.79 / 2.19647e+06 = 0.000556704
#PC9: 1013.83 / 2.19647e+06 = 0.00046157
#PC10: 500.317 / 2.19647e+06 = 0.000227782
#PC11: 472.707 / 2.19647e+06 = 0.000215212
#PC12: 391.472 / 2.19647e+06 = 0.000178227
#PC13: 325.773 / 2.19647e+06 = 0.000148316
#PC14: 300.826 / 2.19647e+06 = 0.000136959
#PC15: 272.237 / 2.19647e+06 = 0.000123943
#PC16: 253.474 / 2.19647e+06 = 0.0001154
#PC17: 250.794 / 2.19647e+06 = 0.00011418
#PC18: 164.818 / 2.19647e+06 = 7.50377e-05
#PC19: 98.0569 / 2.19647e+06 = 4.46429e-05
#PC20: 28.7519 / 2.19647e+06 = 1.309e-05
#PC21: 9.84173 / 2.19647e+06 = 4.4807e-06
#PC22: 2.96299 / 2.19647e+06 = 1.34897e-06
idpar_scale PC0 PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 Mean
-4724.17 -0.110475 -0.00105672 0.00561414 -0.0301909 0.0334514 0.0136023 -0.00529734 -0.0119801 -0.00441824 0.0235508 -0.201113 -0.0320442 0.0122107 0.90631 0.11341 0.13933 -0.000103234 -0.298122 0.0051824 -0.00296238 -0.000894043 0.00014126 -0.021259 -179.73
-4740.12 -0.113941 -0.0253282 -0.00736204 0.00255623 0.00256405 0.00191354 -0.00236501 -0.0144213 -0.000344168 0.00532537 -0.00937516 0.000886202 0.00297415 -0.00480241 -0.000163717 -0.00201032 -0.000193221 0.0179102 -0.000709883 0.00470321 0.00509569 -0.000139218 0.328915 -175.415
-4861.33 -0.11529 -0.0327666 -0.0129068 0.0163218 -0.00319068 -0.000594043 0.000472016 -0.0123023 -0.00107503 0.00508585 0.00460118 0.00424069 -0.000758643 -0.0138476 -0.000781887 -0.000979745 0.000195329 4.5335e-05 -0.000208195 -0.00134761 -0.000232629 0.00122275 -0.0759603 -173.76
-4958.91 -0.11493 -0.0284128 -0.00949949 0.00666552 0.000149529 0.00131382 -0.00124103 -0.0126018 0.000100355 0.00497996 -0.00451602 0.00163964 0.00166686 -0.0041125 -0.00112513 -0.000261818 3.6958e-05 0.0106858 -0.000577121 0.00374518 0.00339973 -0.000709594 0.191977 -174.233
-5006.84 -0.11509 -0.0284596 -0.00952001 0.0066921 0.000143019 0.00131283 -0.00123881 -0.0126221 9.99081e-05 0.0049889 -0.00450713 0.00164892 0.00166477 -0.00413203 -0.00112833 -0.000264154 3.79917e-05 0.0106831 -0.000576647 0.00373812 0.00339452 -0.000709434 0.191785 -174.047
-5200.26 -0.114192 -0.0327822 -0.0140188 0.0157474 -0.00613635 3.83582e-05 0.00129332 -0.00745537 0.00134189 0.00407839 0.00709598 0.00298655 -0.000218001 -0.0152531 -0.0015539 0.00340743 -0.000277198 -0.00278646 0.00257894 -0.00266761 -0.00284968 -0.000442287 -0.14173 -175.03
-5577.34 -0.113988 -0.0311667 -0.0122949 0.0139923 -0.00426053 0.000888035 -0.000507521 -0.0116011 0.000585504 0.00499931 0.00167541 0.0033077 0.000448154 -0.0128513 -0.00205891 0.00011058 -0.000164542 0.00483889 0.000826728 0.00122307 5.174e-05 0.00163434 0.0241292 -175.287
-5754.61 -0.11425 -0.0323298 -0.0134721 0.0137261 -0.0043342 0.000316977 0.000987473 -0.0100216 0.0012172 0.00583037 0.00245166 0.00386369 -0.00088134 -0.0131296 -0.00348075 0.00103837 0.000214534 0.003699 0.00112384 -0.00117014 -0.00164926 0.00208839 -0.0107984 -174.971
-5875.64 -0.114887 -0.0316467 -0.0120237 0.0134141 -0.0019003 -0.000445915 0.000439071 -0.0110025 -0.00098436 0.00435956 0.00360902 0.00274078 0.000535403 -0.012069 -4.38971e-05 -0.000162551 0.00013941 0.00178278 0.000218904 -2.56185e-05 0.00165734 0.00142115 -0.0323042 -174.242
-6300 -0.114589 -0.0319118 -0.012959 0.0147943 -0.00475698 0.000676803 8.28202e-05 -0.00999653 0.000810179 0.00463002 0.00354708 0.00320698 -2.5252e-05 -0.013643 -0.00177629 0.000976281 -0.000199752 0.00213895 0.00121277 -0.000243019 -0.000954901 0.000900653 -0.0327328 -174.582
-6363.78 -0.114381 -0.031851 -0.0129324 0.0147598 -0.00474853 0.000678086 7.99436e-05 -0.0099701 0.000810761 0.00461842 0.00353554 0.00319493 -2.25457e-05 -0.0136177 -0.00177214 0.000979311 -0.000201092 0.00214243 0.00121215 -0.000233863 -0.000948146 0.000900444 -0.0324834 -174.823
-6562.81 -0.115443 -0.0328238 -0.0129435 0.0163969 -0.00321748 -0.000615528 0.00050012 -0.0122879 -0.00107562 0.00507236 0.00470407 0.00425473 -0.000761826 -0.0139462 -0.000764094 -0.000963918 0.000191081 -5.21198e-05 -0.000170482 -0.00143353 -0.000274689 0.00119376 -0.0783979 -173.582
-6583.45 -0.114869 -0.0333862 -0.014534 0.0147346 -0.00517681 -3.91938e-05 0.00204264 -0.00721612 0.00169531 0.00535466 0.00495659 0.00350391 -0.00174844 -0.0147295 -0.00339024 0.00247602 0.000150623 -9.71017e-05 0.00192433 -0.00383945 -0.0035997 0.00110732 -0.090666 -174.241
-6716.44 -0.114917 -0.0327297 -0.0136896 0.0151985 -0.00480387 0.000409372 0.000867851 -0.00952924 0.00111406 0.0049468 0.00407241 0.00368878 -0.00147143 -0.0140781 -0.00292293 0.000639601 9.94935e-05 0.00142917 0.000589281 -0.00192826 -0.00244863 0.000221944 -0.0519237 -174.192
-6720 -0.115 -0.0327573 -0.0137037 0.0152126 -0.00480951 0.000406207 0.000873713 -0.0095307 0.00111591 0.00495001 0.00408457 0.00369236 -0.00147694 -0.0140943 -0.00292706 0.000642565 0.000100772 0.00141755 0.00058988 -0.00194068 -0.00245917 0.000214782 -0.0522419 -174.096
-6730.82 -0.114877 -0.0327258 -0.0136926 0.0151926 -0.00480748 0.000403488 0.000878183 -0.00950324 0.00111899 0.00494131 0.00408754 0.00368362 -0.00148111 -0.0140873 -0.00292788 0.0006498 0.000100962 0.00140634 0.000589965 -0.00194667 -0.00246539 0.000205305 -0.0523782 -174.239
-7005.83 -0.103202 0.122378 0.108887 -0.382519 0.248322 0.0442764 0.00114567 0.132264 -0.000858905 0.0191624 -0.0696599 -0.0185406 0.00128006 -0.202348 0.00298826 0.0777842 -0.00259902 -0.424212 0.000177225 0.0010397 0.000911052 2.24914e-05 0.0169002 -189.793
-7135.79 -0.114763 -0.0310455 -0.011872 0.0114532 -0.00291252 0.000670909 -0.000138707 -0.00989365 0.000672584 0.00427807 0.00142192 0.00209582 0.000517222 -0.0120147 -0.00206026 0.000652658 8.15039e-05 0.00543 9.61063e-05 0.00173893 0.000780063 -6.78429e-05 0.0456997 -174.393
-7332.15 -0.113081 -0.024267 -0.00625122 0.00200985 0.00340331 0.0022315 -0.00364891 -0.0174855 -0.00101917 0.00568496 -0.0118946 0.00133956 0.0035425 -0.00334418 -0.000135612 -0.00372314 -0.000174445 0.0210563 -0.00197083 0.00721215 0.00708722 0.000782653 0.401809 -176.423
-7751.11 -0.114552 -0.0309839 -0.011845 0.0114183 -0.00290396 0.000672208 -0.000141617 -0.00986685 0.000673178 0.00426631 0.00141022 0.0020836 0.000519964 -0.011989 -0.00205606 0.000655731 8.01467e-05 0.00543353 9.54859e-05 0.00174821 0.000786904 -6.80551e-05 0.0459525 -174.638
-8446 -0.114036 -0.0331986 -0.0146987 0.0170427 -0.00527551 -4.10101e-05 0.00148588 -0.00990093 0.000922674 0.00486056 0.00604294 0.00462692 -0.00183327 -0.0145365 -0.00245734 -0.000437885 0.000406914 -0.00188074 0.000642907 -0.0038315 -0.0040157 -0.00125914 -0.119676 -175.205
-8498.02 -0.112933 -0.0324978 -0.0134693 0.0165205 -0.00563446 0.000223556 0.0013657 -0.00901636 0.00119382 0.00375762 0.00688418 0.00343143 -0.00127828 -0.0146659 -0.00173784 0.00130199 -0.000155759 -0.00282199 0.00133946 -0.00248586 -0.00281914 -0.00195007 -0.132764 -176.491
-8542.09 -0.113253 -0.0325913 -0.0135102 0.0165735 -0.00564744 0.000221584 0.00137013 -0.00905698 0.00119293 0.00377545 0.00690192 0.00344995 -0.00128244 -0.0147048 -0.00174422 0.00129734 -0.000153699 -0.00282735 0.00134041 -0.00249994 -0.00282952 -0.00194975 -0.133148 -176.12
-8662.14 -0.113149 -0.0324843 -0.013326 0.0164236 -0.00555276 0.000254021 0.00119303 -0.00924616 0.00109034 0.00373526 0.00680026 0.00341902 -0.00129812 -0.0146737 -0.00168062 0.00129212 -0.000208593 -0.00261698 0.00110487 -0.00219365 -0.00257146 -0.00204935 -0.128222 -176.242
-9068.62 -0.114954 -0.0323636 -0.0130473 0.0142533 -0.00426015 0.000465075 0.000353684 -0.00967774 0.000815728 0.00478536 0.0031688 0.00320269 -0.001135 -0.013381 -0.00249739 0.000644675 0.000118526 0.00245314 6.84018e-05 -0.000470992 -0.00117264 0.000542127 -0.0231866 -174.156
-9530.62 -0.115089 -0.0324031 -0.0130646 0.0142757 -0.00426564 0.000464243 0.000355549 -0.0096949 0.000815348 0.00479289 0.0031763 0.00321051 -0.00113676 -0.0133975 -0.00250008 0.000642708 0.000119395 0.00245088 6.88006e-05 -0.000476934 -0.00117702 0.000542263 -0.0233485 -173.999
-9545.93 -0.114799 -0.0326659 -0.0129214 0.016239 -0.00325426 -0.000593307 0.000545897 -0.01211 -0.000999199 0.00506397 0.00466129 0.00420419 -0.000805369 -0.0138796 -0.000851898 -0.000898423 0.000197082 -3.51394e-05 -0.00015049 -0.00146417 -0.000379705 0.00115199 -0.0778691 -174.329
-10830.3 -0.115003 -0.0317005 -0.0120222 0.0137386 -0.00197752 -0.000453274 0.000367313 -0.0114377 -0.00106768 0.00438696 0.00396396 0.00302884 0.000368853 -0.0128736 -0.000149856 -0.00055904 0.000145804 0.00200255 7.7474e-05 -0.000242243 0.00121995 0.000367665 -0.031754 -174.106
-18751 -0.115113 -0.0327692 -0.0129695 0.0162893 -0.00327235 -0.000617024 0.000580202 -0.0120372 -0.000995944 0.00504988 0.00473563 0.0041782 -0.000784526 -0.0138926 -0.000813067 -0.000817212 0.000188448 -0.000168319 -9.6361e-05 -0.00150999 -0.000370083 0.00122546 -0.0806864 -173.965
-12818 -0.115015 -0.0327371 -0.0129514 0.0163023 -0.0032695 -0.000613629 0.000560967 -0.012097 -0.00100848 0.00505505 0.00473349 0.00420734 -0.000794034 -0.0139071 -0.000821744 -0.000865531 0.000192816 -0.000128166 -0.000123284 -0.00150136 -0.000371782 0.00118883 -0.0799401 -174.078
-10938 -0.11493 -0.0327111 -0.0129458 0.0162691 -0.00327243 -0.000598603 0.000557297 -0.0121017 -0.00099409 0.00506458 0.00469767 0.00420795 -0.000807921 -0.0138924 -0.000851973 -0.000879261 0.000196539 -7.99366e-05 -0.0001386 -0.001484 -0.00038834 0.00116067 -0.0789289 -174.178
-10049.3 -0.11486 -0.0326871 -0.0129335 0.0162557 -0.00326379 -0.000595647 0.000551267 -0.0121106 -0.000996934 0.00506567 0.00467844 0.0042088 -0.000809185 -0.0138874 -0.00085427 -0.000893494 0.000197504 -5.35904e-05 -0.000146313 -0.00147604 -0.00038532 0.00115517 -0.0783278 -174.259
-40511.3 -0.114892 -0.0327298 -0.0129813 0.016266 -0.00330615 -0.000624873 0.000621731 -0.0119318 -0.00096288 0.00503344 0.00478971 0.00416021 -0.000801524 -0.0139059 -0.00083204 -0.000764485 0.000187461 -0.000247376 -5.79607e-05 -0.00158076 -0.000435882 0.00120892 -0.0824376 -174.221
-26251.3 -0.114817 -0.0327025 -0.0129665 0.0162404 -0.00330113 -0.000613672 0.000609155 -0.0119478 -0.00096054 0.00503781 0.00475756 0.00416071 -0.00080569 -0.0138892 -0.0008468 -0.000781229 0.00018954 -0.000200958 -7.53529e-05 -0.00155101 -0.000431439 0.00119243 -0.0814068 -174.308
-21655.1 -0.114749 -0.0326766 -0.0129499 0.0162258 -0.00328997 -0.000609516 0.000597482 -0.0119642 -0.000966492 0.00503848 0.00473431 0.00416192 -0.000804438 -0.0138786 -0.000847189 -0.000798577 0.000190386 -0.000168045 -8.77351e-05 -0.00153152 -0.000419433 0.00118851 -0.0806404 -174.387
-19445.4 -0.11469 -0.0326546 -0.0129361 0.0162112 -0.00328032 -0.000606551 0.000589058 -0.0119711 -0.00097057 0.00503734 0.00471629 0.00415986 -0.000801218 -0.0138686 -0.000845304 -0.000807889 0.000190374 -0.000145804 -9.5491e-05 -0.00151538 -0.00040989 0.00118569 -0.0800989 -174.457
-76431.8 -0.0136962 0.158255 -0.330953 -0.066584 -0.048726 0.0327243 0.0928606 -0.00226559 0.167939 0.00599214 -0.000229189 -0.000674451 -0.154755 0.0023648 0.00134481 0.00152155 0.00834539 -0.00228403 -0.0108664 0.0450331 0.804049 -0.384128 -0.0140338 -292.67
-73170.6 -0.11402 -0.0267351 -0.00919663 0.00431957 0.000317774 0.00132114 0.000779931 -0.0117788 0.00113227 0.00545704 -0.00344006 0.00216669 0.000582944 -0.00702913 -0.00112193 -0.000376166 -3.25827e-05 0.0113503 0.00138194 -0.000429207 0.000579884 -0.00110038 0.16253 -175.305
